stock,year,E_Et,esc_score,C_Ct,catch_score,stock_score
FRS Sum,2008,1.08538,1,1.15927,0.84073,0.84073
FRS Sum,2009,0.91865,0.86442,0,0.25,0.2161
FRS Sum,2010,1.29886,1,1.18451,0.81549,0.81549
FRS Sum,2011,1.29793,1,1.1113,0.8887,0.8887
FRS Sum,2012,0.85914,0.76523,1.1306,0.8694,0.66529
FRS Sum,2015,0.6732,0.45533,0,0.25,0.11383
FRS Late,2005,NA,NA,1.15226,0.84774,0.84774
FRS Late,2006,0.98273,0.97122,0.52246,0.90308,0.87709
FRS Late,2007,0.55229,0.25382,0,0.25,0.06346
FRS Late,2008,0.07138,0,1.26667,0.73333,0
FRS Late,2009,0.75447,0.59078,4.44444,0,0
FRS Late,2010,1.10177,1,1.17242,0.82758,0.82758
FRS Late,2011,1.09251,1,1.59376,0.40624,0.40624
FRS Late,2012,0.23554,0,0,0.25,0
FRS Late,2015,0.57578,0.29297,0,0.25,0.07324
Pink FR,2005,1.48993,1,3.77216,0,0
Pink FR,2007,1.69335,0.88331,5.95309,0,0
Pink FR,2009,2.57147,0.25,2.9578,0,0
Pink FR,2011,2.1314,0.33575,1.56477,0.43523,0.14613
Pink FR,2015,1.04863,1,1.53358,0.46642,0.46642
S Stikine - Tahltan,2004,3.26167,0.25,1.4276,0.5724,0.1431
S Stikine - Tahltan,2005,2.20228,0.25,1.21248,0.78752,0.19688
S Stikine - Tahltan,2006,2.78067,0.25,1.14059,0.85941,0.21485
S Stikine - Tahltan,2007,1.00194,1,1.30847,0.69153,0.69153
S Stikine - Tahltan,2008,0.44733,0.07888,0.55336,0.9417,0.07428
S Stikine - Tahltan,2009,1.51733,1,1.17083,0.82917,0.82917
S Stikine - Tahltan,2010,1.01944,1,0.88797,1,1
S Stikine - Tahltan,2011,1.64939,0.93826,1.27069,0.72931,0.68428
S Stikine - Tahltan,2012,0.52856,0.21427,0.70571,1,0.21427
S Stikine - Tahltan,2014,2.048,0.44,1.13171,0.86829,0.38205
S Stikine - Tahltan,2015,1.62711,0.96611,0.96193,1,0.96611
S Stikine - Non-Tahltan,2004,1.50625,1,1.4276,0.5724,0.5724
S Stikine - Non-Tahltan,2005,1.525,1,1.21248,0.78752,0.78752
S Stikine - Non-Tahltan,2006,2.165,0.29375,1.14059,0.85941,0.25245
S Stikine - Non-Tahltan,2007,1.35,1,1.30847,0.69153,0.69153
S Stikine - Non-Tahltan,2008,0.725,0.54167,0.55336,0.9417,0.51009
S Stikine - Non-Tahltan,2009,1.165,1,1.17083,0.82917,0.82917
S Stikine - Non-Tahltan,2010,1.25815,1,0.88797,1,1
S Stikine - Non-Tahltan,2011,1.68255,0.89681,1.27069,0.72931,0.65405
S Stikine - Non-Tahltan,2012,1.6806,0.89925,0.70571,1,0.89925
S Stikine - Non-Tahltan,2014,1.325,1,1.13171,0.86829,0.86829
S Stikine - Non-Tahltan,2015,1.9547,0.55662,0.96193,1,0.55662
S Skeena,2009,0.8,0.66667,NA,NA,0.66667
S Skeena,2010,0.7897,0.6495,NA,NA,0.6495
S Skeena,2011,1.38095,1,NA,NA,1
S Skeena,2012,1.14286,1,NA,NA,1
S Skeena,2013,0.41905,0.03175,NA,NA,0.03175
S Skeena,2014,2.57778,0.25,NA,NA,0.25
S Skeena,2015,1.86667,0.66666,NA,NA,0.66666
Chum FR,2003,1.81495,0.73131,NA,NA,0.73131
Chum FR,2004,3.29194,0.25,NA,NA,0.25
Chum FR,2005,1.58009,1,NA,NA,1
Chum FR,2006,2.53334,0.25,NA,NA,0.25
Chum FR,2007,1.28338,1,NA,NA,1
Chum FR,2008,1.17518,1,NA,NA,1
Chum FR,2009,0.7742,0.62367,NA,NA,0.62367
Chum FR,2010,0.79312,0.6552,NA,NA,0.6552
Chum FR,2011,1.35582,1,NA,NA,1
Chum FR,2012,1.60041,0.99949,NA,NA,0.99949
Chum FR,2013,0.99947,0.99912,NA,NA,0.99912
Chum southern,2003,NA,NA,0.53191,0.91489,0.91489
Chum southern,2004,NA,NA,0.58824,0.9853,0.9853
Chum southern,2005,NA,NA,0.47962,0.84952,0.84952
Chum southern,2006,NA,NA,0.56338,0.95422,0.95422
Chum southern,2007,NA,NA,0.68493,1,1
Chum southern,2008,NA,NA,0.76923,1,1
Chum southern,2009,NA,NA,0.59701,0.99626,0.99626
Chum southern,2010,NA,NA,1.85185,0.14815,0.14815
Chum southern,2011,NA,NA,0.47847,0.84809,0.84809
Chum southern,2012,NA,NA,0.7722,1,1
Chum southern,2013,NA,NA,0.59719,0.99649,0.99649
Chum JS,2003,NA,NA,0.76046,1,1
Chum JS,2004,NA,NA,0.91743,1,1
Chum JS,2005,NA,NA,0.71429,1,1
Chum JS,2006,NA,NA,0.98039,1,1
Chum JS,2007,NA,NA,1.0989,0.9011,0.9011
Chum JS,2008,NA,NA,1.42857,0.57143,0.57143
Chum JS,2009,NA,NA,0.84388,1,1
Chum JS,2010,NA,NA,4,0,0
Chum JS,2011,NA,NA,0.90909,1,1
Chum JS,2012,NA,NA,1.73913,0.26087,0.26087
Chum JS,2013,NA,NA,0.9009,1,1
S WCVI,2004,1.94011,0.57486,0.0896,0.362,0.2081
S WCVI,2005,1.16918,1,0.78731,1,1
S WCVI,2006,0.76355,0.60592,0.93795,1,0.60592
S WCVI,2007,0.40786,0.0131,17.72505,0,0
S WCVI,2008,0.41822,0.03037,NA,NA,0.03037
S WCVI,2009,1.04042,1,2.30666,0,0
S WCVI,2010,1.6637,0.92038,0.36971,0.71214,0.65544
S WCVI,2011,2.08404,0.39495,0.9949,1,0.39495
S WCVI,2012,0.892,0.82,1.53011,0.46989,0.38531
S WCVI,2013,0.36822,0,15.15262,0,0
Pink 6,2003,0.99445,0.99075,NA,NA,0.99075
Pink 6,2004,0.81728,0.69547,NA,NA,0.69547
Pink 6,2005,0.86599,0.77665,NA,NA,0.77665
Pink 6,2006,0.96044,0.93407,NA,NA,0.93407
Coho inside F,2005,NA,NA,1.15385,0.84615,0.84615
Coho inside F,2006,NA,NA,1.36364,0.63636,0.63636
Coho inside F,2007,2.88635,0.25,1.66667,0.33333,0.08333
Coho inside F,2008,0.7124,0.52067,1.63043,0.36957,0.19242
Coho inside F,2009,1.05215,1,1.24481,0.75519,0.75519
Coho inside F,2010,1.8,0.75,0.96774,1,0.75
Coho inside F,2011,1.3,1,0.96774,1,1
Coho inside F,2012,2.75,0.25,2.30769,0,0
Coho inside F,2013,NA,NA,1.03448,0.96552,0.96552
Coho inside F,2014,0.9265,0.8775,1.58416,0.41584,0.3649
Coho inside F,2015,0.6218,0.36967,NA,NA,0.36967
Coho inside F,2016,3,0.25,NA,NA,0.25
