am_sid,sciname,am_category,iucn_sid,iucn_category,popn_trend,parent_sid,subpop_sid,popn_category,info_source,spp_group,id_no,spatial_source,category_score,trend_score,status_gl,status_pr,status_gl_score,status_pr_score,iucn_score
ITS-97311,Nephropsis rosea,LC,169986,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,169986,iucn,0,NA,NA,NA,NA,NA,0
ITS-97312,Nephropsis neglecta,LC,169973,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,169973,iucn,0,NA,NA,NA,NA,NA,0
ITS-97314,Homarus americanus,LC,170009,LC,Stable,NA,NA,LC,iucn,LOBSTERS,170009,iucn,0,0,NA,NA,NA,NA,0
ITS-97315,Homarus gammarus,LC,169955,LC,Stable,NA,NA,LC,iucn,LOBSTERS,169955,iucn,0,0,NA,NA,NA,NA,0
ITS-97317,Nephrops norvegicus,LC,169967,LC,Stable,NA,NA,LC,iucn,LOBSTERS,169967,iucn,0,0,NA,NA,NA,NA,0
ITS-97319,Acanthacaris caeca,LC,170000,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,170000,iucn,0,NA,NA,NA,NA,NA,0
ITS-97323,Metanephrops binghami,LC,170021,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,170021,iucn,0,NA,NA,NA,NA,NA,0
ITS-97651,Panulirus guttatus,LC,169988,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,169988,iucn,0,NA,NA,NA,NA,NA,0
ITS-97657,Palinurus elephas,NA,169975,VU,Decreasing,NA,NA,VU,iucn,NA,NA,am,0.4,-0.5,NA,NA,NA,NA,0.4
SLB-184857,Bathyarctus faxoni,LC,185077,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,185077,iucn,0,NA,NA,NA,NA,NA,0
ITS-97673,Scyllarides nodifer,LC,170088,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,170088,iucn,0,NA,NA,NA,NA,NA,0
ITS-97676,Scyllarides aequinoctialis,LC,170075,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,170075,iucn,0,NA,NA,NA,NA,NA,0
ITS-97682,Parribacus antarcticus,LC,170071,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,170071,iucn,0,NA,NA,NA,NA,NA,0
ITS-97688,Polycheles typhlops,LC,185026,LC,Stable,NA,NA,LC,iucn,LOBSTERS,185026,iucn,0,0,NA,NA,NA,NA,0
ITS-97696,Palinurellus gundlachi,LC,170015,LC,Unknown,NA,NA,LC,iucn,LOBSTERS,170015,iucn,0,NA,NA,NA,NA,NA,0
Hyd-210726,Millepora alcicornis,LC,133144,LC,Stable,NA,NA,LC,iucn,CORALS3,133144,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-3929,Tubipora musica,NT,133065,NT,Unknown,NA,NA,NT,iucn,NA,NA,am,0.2,NA,NA,NA,NA,NA,0.2
Hyd-287421,Millepora complanata,LC,133042,LC,Stable,NA,NA,LC,iucn,CORALS3,133042,iucn,0,0,NA,NA,NA,NA,0
Hyd-210730,Millepora platyphylla,LC,133595,LC,Unknown,NA,NA,LC,iucn,CORALS3,133595,iucn,0,NA,NA,NA,NA,NA,0
SLB-158806,Porites sillimaniana,NA,133118,VU,Unknown,NA,NA,VU,iucn,CORALS2,133118,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-4841,Acropora tenuis,NT,133020,NT,Decreasing,NA,NA,NT,iucn,CORALS1,133020,iucn,0.2,-0.5,NA,NA,NA,NA,0.2
URM-Cn-6097,Astrangia poculata,LC,133446,LC,Unknown,NA,NA,LC,iucn,CORALS2,133446,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5990,Seriatopora hystrix,LC,133390,LC,Unknown,NA,NA,LC,iucn,CORALS2,133390,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5995,Stylophora pistillata,NT,133685,NT,Unknown,NA,NA,NT,iucn,CORALS2,133685,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-4833,Acropora squarrosa,LC,133402,LC,Decreasing,NA,NA,LC,iucn,CORALS1,133402,iucn,0,-0.5,NA,NA,NA,NA,0
URM-Cn-4495,Heliopora coerulea,VU,133193,VU,Decreasing,NA,NA,VU,iucn,CORALS3,133193,iucn,0.4,-0.5,NA,NA,NA,NA,0.4
SLB-184808,Isopora brueggemanni,NA,133182,VU,Decreasing,NA,NA,VU,iucn,CORALS1,133182,iucn,0.4,-0.5,NA,NA,NA,NA,0.4
URM-Cn-6128,Coscinaraea mcneilli,LC,133077,LC,Unknown,NA,NA,LC,iucn,CORALS2,133077,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6129,Coscinaraea monile,LC,133323,LC,Unknown,NA,NA,LC,iucn,CORALS2,133323,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6130,Coscinaraea wellsi,LC,133408,LC,Unknown,NA,NA,LC,iucn,CORALS2,133408,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6134,Psammocora contigua,NT,133208,NT,Unknown,NA,NA,NT,iucn,CORALS2,133208,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-6135,Psammocora digitata,NT,133043,NT,Unknown,NA,NA,NT,iucn,CORALS2,133043,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-6136,Psammocora explanulata,LC,133589,LC,Unknown,NA,NA,LC,iucn,CORALS2,133589,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6137,Psammocora haimeana,LC,133406,LC,Unknown,NA,NA,LC,iucn,CORALS2,133406,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6138,Psammocora nierstraszi,LC,133094,LC,Stable,NA,NA,LC,iucn,CORALS2,133094,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-6139,Psammocora obtusangula,NA,133353,NT,Unknown,NA,NA,NT,iucn,CORALS2,133353,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-6140,Psammocora profundacella,LC,133570,LC,Unknown,NA,NA,LC,iucn,CORALS2,133570,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6141,Psammocora stellata,VU,132860,VU,Unknown,NA,NA,VU,iucn,CORALS2,132860,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-6142,Psammocora superficialis,LC,133502,LC,Unknown,NA,NA,LC,iucn,CORALS2,133502,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6146,Siderastrea radians,LC,133027,LC,Stable,NA,NA,LC,iucn,CORALS2,133027,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-6147,Siderastrea savignyana,LC,133590,LC,Unknown,NA,NA,LC,iucn,CORALS2,133590,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6148,Siderastrea siderea,LC,133389,LC,Stable,NA,NA,LC,iucn,CORALS2,133389,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-4849,Acropora valenciennesi,LC,133621,LC,Decreasing,NA,NA,LC,iucn,CORALS1,133621,iucn,0,-0.5,NA,NA,NA,NA,0
SLB-61731,Acropora valida,LC,133293,LC,Decreasing,NA,NA,LC,iucn,CORALS1,133293,iucn,0,-0.5,NA,NA,NA,NA,0
URM-Cn-4850,Acropora vaughani,VU,133025,VU,Decreasing,NA,NA,VU,iucn,CORALS1,133025,iucn,0.4,-0.5,NA,NA,NA,NA,0.4
URM-Cn-4851,Acropora verweyi,VU,133532,VU,Decreasing,NA,NA,VU,iucn,CORALS1,133532,iucn,0.4,-0.5,NA,NA,NA,NA,0.4
URM-Cn-5931,Echinophyllia echinoporoides,LC,132947,LC,Unknown,NA,NA,LC,iucn,CORALS2,132947,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5934,Echinophyllia orpheensis,LC,133609,LC,Unknown,NA,NA,LC,iucn,CORALS2,133609,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5939,Mycedium elephantotus,LC,133559,LC,Unknown,NA,NA,LC,iucn,CORALS2,133559,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5947,Oxypora glabra,LC,133192,LC,Unknown,NA,NA,LC,iucn,CORALS2,133192,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5948,Oxypora lacera,LC,133442,LC,Unknown,NA,NA,LC,iucn,CORALS2,133442,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-4830,Acropora solitaryensis,VU,133320,VU,Decreasing,NA,NA,VU,iucn,CORALS1,133320,iucn,0.4,-0.5,NA,NA,NA,NA,0.4
URM-Cn-5950,Pectinia alcicornis,VU,132956,VU,Unknown,NA,NA,VU,iucn,CORALS2,132956,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5953,Pectinia lactuca,VU,132928,VU,Unknown,NA,NA,VU,iucn,CORALS2,132928,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5954,Pectinia paeonia,NT,133272,NT,Unknown,NA,NA,NT,iucn,CORALS2,133272,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5974,Pocillopora capitata,LC,132958,LC,Unknown,NA,NA,LC,iucn,CORALS2,132958,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5975,Pocillopora damicornis,LC,133222,LC,Unknown,NA,NA,LC,iucn,CORALS2,133222,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5977,Pocillopora elegans,VU,133099,VU,Unknown,NA,NA,VU,iucn,CORALS2,133099,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5978,Pocillopora eydouxi,NT,133407,NT,Unknown,NA,NA,NT,iucn,CORALS2,133407,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5981,Pocillopora inflata,VU,133309,VU,Unknown,NA,NA,VU,iucn,CORALS2,133309,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5982,Pocillopora kelleheri,LC,132875,LC,Stable,NA,NA,LC,iucn,CORALS2,132875,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-5983,Pocillopora meandrina,LC,133095,LC,Unknown,NA,NA,LC,iucn,CORALS2,133095,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5984,Pocillopora verrucosa,LC,133197,LC,Unknown,NA,NA,LC,iucn,CORALS2,133197,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5985,Pocillopora woodjonesi,LC,132923,LC,Unknown,NA,NA,LC,iucn,CORALS2,132923,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5987,Seriatopora caliendrum,NT,133028,NT,Unknown,NA,NA,NT,iucn,CORALS2,133028,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5989,Seriatopora guttatus,LC,133614,LC,Unknown,NA,NA,LC,iucn,CORALS2,133614,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-4836,Acropora subglabra,LC,133087,LC,Decreasing,NA,NA,LC,iucn,CORALS1,133087,iucn,0,-0.5,NA,NA,NA,NA,0
URM-Cn-6069,Porites nigrescens,VU,133038,VU,Unknown,NA,NA,VU,iucn,CORALS2,133038,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-6073,Porites porites,LC,133395,LC,Stable,NA,NA,LC,iucn,CORALS2,133395,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-4835,Acropora striata,VU,133291,VU,Decreasing,NA,NA,VU,iucn,CORALS1,133291,iucn,0.4,-0.5,NA,NA,NA,NA,0.4
URM-Cn-6020,Goniopora minor,NT,133607,NT,Unknown,NA,NA,NT,iucn,CORALS2,133607,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-6030,Goniopora stokesi,NT,133668,NT,Unknown,NA,NA,NT,iucn,CORALS2,133668,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-6038,Porites astreoides,LC,133680,LC,Increasing,NA,NA,LC,iucn,CORALS2,133680,iucn,0,0.5,NA,NA,NA,NA,0
URM-Cn-6055,Porites furcata,LC,133504,LC,Stable,NA,NA,LC,iucn,CORALS2,133504,iucn,0,0,NA,NA,NA,NA,0
URM-Cn-6062,Porites lichen,LC,133023,LC,Unknown,NA,NA,LC,iucn,CORALS2,133023,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-6063,Porites lobata,NT,133216,NT,Unknown,NA,NA,NT,iucn,CORALS2,133216,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-6064,Porites lutea,LC,133082,LC,Unknown,NA,NA,LC,iucn,CORALS2,133082,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5823,Hydnophora microconos,NT,133458,NT,Unknown,NA,NA,NT,iucn,CORALS2,133458,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5824,Hydnophora pilosa,LC,132895,LC,Unknown,NA,NA,LC,iucn,CORALS2,132895,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5825,Hydnophora rigida,LC,132881,LC,Unknown,NA,NA,LC,iucn,CORALS2,132881,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5826,Merulina ampliata,LC,133337,LC,Unknown,NA,NA,LC,iucn,CORALS2,133337,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5827,Merulina scabricula,LC,133024,LC,Unknown,NA,NA,LC,iucn,CORALS2,133024,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5830,Scapophyllia cylindrica,LC,133473,LC,Unknown,NA,NA,LC,iucn,CORALS2,133473,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5845,Acanthastrea bowerbanki,VU,133411,VU,Unknown,NA,NA,VU,iucn,CORALS2,133411,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5846,Acanthastrea echinata,LC,133246,LC,Unknown,NA,NA,LC,iucn,CORALS2,133246,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5847,Acanthastrea faviaformis,VU,133624,VU,Unknown,NA,NA,VU,iucn,CORALS2,133624,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5848,Acanthastrea hemprichii,VU,133642,VU,Unknown,NA,NA,VU,iucn,CORALS2,133642,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5849,Acanthastrea hillae,NT,133106,NT,Unknown,NA,NA,NT,iucn,CORALS2,133106,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5850,Acanthastrea ishigakiensis,VU,133376,VU,Unknown,NA,NA,VU,iucn,CORALS2,133376,iucn,0.4,NA,NA,NA,NA,NA,0.4
URM-Cn-5851,Acanthastrea lordhowensis,NT,133366,NT,Unknown,NA,NA,NT,iucn,CORALS2,133366,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5854,Acanthastrea regularis,VU,133326,VU,Unknown,NA,NA,VU,iucn,CORALS2,133326,iucn,0.4,NA,NA,NA,NA,NA,0.4
SLB-62731,Acanthastrea rotundoflora,NT,133386,NT,Unknown,NA,NA,NT,iucn,CORALS2,133386,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5858,Australomussa rowleyensis,NT,133573,NT,Unknown,NA,NA,NT,iucn,CORALS2,133573,iucn,0.2,NA,NA,NA,NA,NA,0.2
URM-Cn-5859,Blastomussa merleti,LC,133528,LC,Unknown,NA,NA,LC,iucn,CORALS2,133528,iucn,0,NA,NA,NA,NA,NA,0
URM-Cn-5860,Blastomussa wellsi,NT,133253,NT,Unknown,NA,NA,NT,iucn,CORALS2,133253,iucn,0.2,NA,NA,NA,NA,NA,0.2
